responsable,institucion_original,institucion_standard,cuidad,cod_postal,direccion,lat,lon,lineas_investigacion,area_clinica,proyecto_descripcion,proyecto_estado,descripcion_kw,ip,ip_nivel,linea_investigacion_caracter_inovador,entidades_finaciodoras,fondos_capital_riesgo,entidades_colaboradoras,ano_inicio,ano_fin,capacidad_trabajo
Hospital Clínico San Carlos,IRYCIS,Hospital Universitario Ramón y Cajal,Madrid,28034,"Carretera de Colmenar Viejo, km 9",40.484283,-3.690368,ÁREA 3 IRYCIS: PATOLOGÍAS DE SISTEMAS  Y CÁNCER. Grupo de Investigación: Respuesta celular a isquemia. Línea de investigación:  Respuesta celular a isquemia,Otros,Good  Practice in Tradional Chinese Medicine Research in the Post-Genomic Era,,,Dra. Laura García Bermejo,1,,UNIÓN EUROPEA,,"King’s College London (KCL)
University of Vienna (UV)
L'Université Libre de Bruxelles (ULB)
Beijing University of Traditional Chinese Medicine (BUTCM)
Capital Medical University (CMU) 
Institute of Medicinal Plant Development (IMPLAD), Chinese Academy of Medical Sciences
Shanghai Institute of Acupuncture-Moxibustion and Meridians (SIAMM)
Shanghai University of Traditional Chinese Medicine (SUTCM)
University of Hong Kong (UHK)
Asper Biotech Plc (AB)
FibroTx Plc (FT)
VTT Technical Research Centre of Finland (VTT)
Dr. Willmar Schwabe GmbH & Co. KG (WSG)
Federal Institute for Drugs and Medical Devices (FIDMD)
The Heinrich-Heine-University of Düsseldorf (HHU)
University of Bonn (UB)
University of Hamburg (UH)
Trinity College Dublin (TCD)
University of Milan (UM)
University of Padova (UP)
Biohorma B.V (BH)
CMC Tasly Group BV (CMC)
Leiden University (LU)
University of Minho (UM)
University of Alcala (UA)
Foundation for Ramón y Cajal Hospital Research (FIBio-HRC)
Acu-herb Consultant, Sheffield (AHCS)
Phynova Plc
Royal Botanic Gardens, Kew (RBGK)
University of Cambridge (UC)
University of Southampton (US)
",2009,2012,
Hospital Clínico San Carlos,IRYCIS,Hospital Universitario Ramón y Cajal,Madrid,28034,"Carretera de Colmenar Viejo, km 9",40.484283,-3.690368,"ÁREA 2 IRYCIS: MICROBIOLOGÍA, INMUNOLOGÍA E INFECCIÓN. Grupo de Investigación: Biología y evolución de los microorganismos.
Línea de Investigación: Biología y evolución de las poblaciones, comunidades y sistemas microbianos, en particular en relación con la resistencia a antimicrobianos y su capacidad patogénica y epidemigénica. Sublínea ""Epidemiología de la Resistencia a Antibióticos""

",Microbiología,"""Translational Research on Combating Antimicrobial Resistance     HEALTH-F3-2008-223031""",,,Dr. Fernando Baquero Mochales,1,,UNIÓN EUROPEA,,"UPPSALA UNIVERSITET, the Coordinator (UU)
STATENS SERUM INSTITUT (SSI)
SERVICIO MADRILEÑO DE SALUD (SERMAS)
AGENCIA ESTATAL CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS (CNB)
UNIVERSITAET ZUERICH (UZH)
INSTITUT PASTEUR (IP)
UNIVERSITY OF LEEDS (UNIVLEEDS)
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE (INSERM)
CARDIFF UNIVERSITY (CU)
UNIVERSITY OF SHEFFIELD (USFD)
UN
",2010,2013,
Hospital Clínico San Carlos,IRYCIS,Hospital Universitario Ramón y Cajal,Madrid,28034,"Carretera de Colmenar Viejo, km 9",40.484283,-3.690368,"ÁREA 4: EPIDEMILOGÍA CLÍNICA. “Métodos para la investigación en epidemiología clínica”. Sublínea ""Transferencia de resultados y conocimientos""",Microbiología,"U.E. EBM-CONNECT: Evidence-based Medicine CollaboratioN NEtwork for guideline development, teaChing and disseminaTion",,,Dr. Javier Zamora  Romero,1,,UNIÓN EUROPEA,,"(1)  Queen Mary, University of London
(2) World Health Organization of Switzerland
(3)  Academisch Medisch Centrum bij de Universiteit van Amsterdam of the Netherlands
(4)     Servicio Madrileno De Salud of Spain
(5)     The University of British Columbia of Canada

(6)     Centro Rosarino de Estudios Perinatales of Argentina

(7) The University of Birmingham whose administrative offices are at Edgbaston, Birmingham, B15 2TT, United Kingdom (hereinafter “Birmingham”); 
(7)     Shanghai Institute of Planned Parenthood Research of China
",2010,2014,
Hospital Clínico San Carlos,IRYCIS,Hospital Universitario Ramón y Cajal,Madrid,28034,"Carretera de Colmenar Viejo, km 9",40.484283,-3.690368,"ÁREA 3 IRYCYS: Patologías de Sistemas y Cáncer. Grupo Grupo Epidemiología Molecular y Marcadores Predictivos de Cáncer . Línea:  Cáncer de páncreas exocrino. 

",Oncología,"Canceralia: Development of novel diagnostic and therapeutic approaches to improve patient outcome in lung and pancreatic tomours. health-f2-2011-259737

",,,Dr. Alfredo Carrato Mena,1,,UNION EUROPEA,,"
CENTRO NACIONAL DE INVESTIGACIONES ONCOLÓGICAS (CNIO),UNIVERSITY OF LIVERPOOL (ULIV), 
IMPERIAL COLLEGE OF LONDON (ICL)
Thoraxklinik-Heidelberg gGmbH (UHEI),
KATHOLIEKE UNIVERSITEIT LEUVEN (KULeuven)
GE HEALTHCARE MEDICAL DIAGNOSTICS (GEHC-MDx), ",2011,2014,
Hospital Clínico San Carlos,IRYCIS,Hospital Universitario Ramón y Cajal,Madrid,28034,"Carretera de Colmenar Viejo, km 9",40.484283,-3.690368,"ÁREA 2 IRYCIS: MICROBIOLOGÍA, INMUNOLOGÍA E INFECCIÓN. Grupo de Investigación: Biología y evolución de los microorganismos.
Línea de Investigación: Biología y evolución de las poblaciones, comunidades y sistemas microbianos, en particular en relación con la resistencia a antimicrobianos y su capacidad patogénica y epidemigénica. Sublínea ""Epidemiología de la Resistencia a Antibióticos""

",Microbiología,EVOTAR: Evolution and transfer fo antibiotic resistance. HEALTH-F3-2011-282004,,,Dr. Fernando Baquero Mochales,1,,UNION EUROPEA,,"1 Universitair Medisch Centrum Utrecht NL
2 Servicio Madrileño de Salud - Instituto Ramón y Cajal de Investigación
Sanitaria SP
3 Agencia Estatal Consejo Superior de Investigaciones Científicas SP
4 Uppsala University SE
5 Danmarks Tekniske Universitet DK
6 Wageningen Universiteit NL
7 University of Copenhagen DK
8 Université Paris VII FR
9 Da Volterra FR
10 Universidad de Cantabria SP
11 Institut Pasteur FR
12 Instituto Biomar S.A. SP
13 Universidad Complutense de Madrid SP
14 Institut National de la Recherche Agronomique FR
15 The University of Edinburgh UK
16 University of Siena IT
17 MicroDish",2011,2015,
Hospital Clínico San Carlos,IRYCIS,Hospital Universitario Ramón y Cajal,Madrid,28034,"Carretera de Colmenar Viejo, km 9",40.484283,-3.690368,"ÁREA 2 IRYCIS: MICROBIOLOGÍA, INMUNOLOGÍA E INFECCIÓN. Grupo de Investigación: Biología y evolución de los microorganismos.
Línea de Investigación: Biología y evolución de las poblaciones, comunidades y sistemas microbianos, en particular en relación con la resistencia a antimicrobianos y su capacidad patogénica y epidemigénica. Sublínea ""Epidemiología de la Resistencia a Antibióticos""

",Microbiología,U.E. R-GNOSIS: Resistance in Gram-Negative Organism: Studying intevention strategies. HEALTH-F3-2011-282512,,,Dr. Rafael Cantón Moreno,1,,UNION EUROPEA,,"
University Medical Centre Utrecht
Université de Genève
Universiteit Antwerpen
Tel-Aviv Sourasky Medical Centre
Health Protection Agency
Université Paris Val de Marne
Université Paris Sud (Hôpital de Bicêtre)
Cardiff University
Southampton University
Spanish Society of Family Medicine
Hopital de la Charité
Da Volterra
Université Paris VII - Diderot
Statens Serum Institut
Oxford University
ARTTIC
Check-Points Health
GENEWAVE
AptaTeck bio LTD",2011,2016,
Hospital Clínico San Carlos, Gregorio Marañón - Universidad Carlos III (Itto de Investigación Sanitaria Gregorio Marañón),Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Imagen molecular ,Diagnóstico por imagen / Medicina Nuclear / Radiología, Desarrollo de un equipo híbrido de imagen tomográfica de fluorescencia y tomografía computerizada para preclínica (FMTXCT),Activo, FMTXCT Hybrid fluorescence molecular tomography X-ray computed tomography,"Juan José Vaquero (Dpto. de Bioingeniería,UC3M), Vasilis Ntziachristos ( Coordinator, Institute for Biological and Medical Imaging, GSF)",3,SI,CE (VIIPM),NO,"Forschungszentrum fuer Umwelt und Gesundheit (GSF) (coordinador)
Commissariat a  L'Energie Atomique (CEA)
Foundation for Research and Technology Hellas (FORTH)
University College of London (UCL)
Universität Zürich (UZH)
Verfahren und Apparate der Medizinischen Physik (VAMP)
",2008,2012,2
Hospital Clínico San Carlos, Gregorio Marañón - Universidad Carlos III (Itto de Investigación Sanitaria Gregorio Marañón),Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Imagen molecular ,Diagnóstico por imagen / Medicina Nuclear / Radiología,Mejora del diagnósitco de tuberculosis a través de nuevas técnicas de imagen molecular,Activo,Model-based preclinical  anti-tuberculosis drug combinations,"Juan José Vaquero (Dpto. de Bioingeniería,UC3M),",3,SI,"CE (IMI), EFPIA",NO,"GlaxoSmithKline Invest y Desarrollo (COORDINADOR) University of Liverpool (ULIV) - Coordinador Científico
Sanofi Aventis R&D        Uppsala University (UUPP)
Max Planck Institute of Molecular Cell Biology and Genetics, Dresden (MPI-CBG)
Max Planck Institute for Infection Biology, Berlin (MPI-IB)
Erasmus University Medical Centre, Rotterdam (EUMC)
Health Protection Agency, Porton Down (HPA-PD)
Institut Pasteur, Paris (IP-P)
Helperby Therapeutics (HPBY)
University of St Andrew’s (USTAN)
Global Health Institute, Ecole Polytechnique Federale Lausanne (EPFL)
University of Leicester (ULEIC)
University College London (UCL)
VU university medical center, Amsterdam (VUMC)
Microsens (MCSN)
ZFScreens BV(ZF-S)
Point to Point (P2P)
GABO-mi (GABO)
Liverpool School of Tropical Medicine (LSTM)",2012,2016,3
Hospital Clínico San Carlos, Gregorio Marañón - Universidad Carlos III (Itto de Investigación Sanitaria Gregorio Marañón),Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Geriatría,Otros,Desarrollo de soluciones TIC para la prevención de caídas ,Activo,Integrated Prevention  Detection sOlutioNs Tailored population  risks Factors associated with fALLs,"D. José Antonio Serra, Dª Nuria Montero, D. Javier Liarte  (Servicio de Geriatría Hosp. Gregorio Marañón)",2,SI,CE ( Competitiveness and Innovation Framework Programme (CIP actions),NO,"

Engineering - Ingegneria Informatica SPA
Singular Logic S.A.
Universitat Politechnica De Catalunya
Scuola Superiore Sant’Anna
Fondazione Santa Lucia
Stichting Nationaal Ouderenfonds
Frontida Zois 
Fundacio Hospital Asil de Granollers 
Social Welfare Centre of the Municipality of Kifisia
Azienda Usl Di Forli
Klinisk Informatik
Municipality of Stari Grad
DOCOBO
TESAN",,,
Hospital Clínico San Carlos, Hospital General Universitario Gregorio Marañón,Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Dosimetría,Toxicología / Farmacología,Creating a sustainable network in biodosimetry that involves a large number of experienced laboratories throughout European Union (EU) will significantly improve dose assessment capacity,Activo,European Network in Biodosimetry ,"D. Rafael Herranz, Dª Mercedes Moreno, Dª Mª Jesús Prieto (Oncología Radioterápica del Hosp. Gregorio Marañón)",3,SI,CE (CSA (Coordination and Support Action)-) ,NO,"Bundesamt für Strahlenschutz (BfS), Germany   
Bundeswehr Institut für Radiologie in verbindung mit der Universtität Ulm (BIR), Germany  
 Commissariat a l´Energie Atomique, France   
Agenzia Nazionale per le Nuove Tecnologie, L´Energia e lo Sviluppo Economico Sostenibile Italy
 Helmholtz Zentrum München (HMGU), Germany   
Health Protection Agency (HPA), United Kingdom  
 Institute of Nuclear Chemistry and Technology (INCT), Poland  
 Institutul National de Sanatate Publica Romania   
Institut de Radioprotection et de Sûreté Nucléaire (IRSN), France  
Instituto Superiore di Sanità; (ISS), Italy 
Instituto Tecnologico e Nuclear Portugal   
Hospital Universitario y Politécnico La Fe, Spain
Leiden University Medical Center, The Netherlands
National Center for Radiobiology and Radiation Protection, Bulgaria
National Centre for Scientific Research“Demokritos”, Greece
National Research Institute for Radiobiology & Radiohygiene, Hungary
Norwegian Radiation Protection Authority (NRPA), Norway   
Radiation and Nuclear Safety Protection (STUK), Finland   
Stockholm University (SU), Sweden   
Universitat Autonoma de Barcelona (UAB), Spain   
Universiteit Gent (UGent), Belgium   
University of Tuscia Italy   ",,,
Hospital Clínico San Carlos, Hospital General Universitario Gregorio Marañón,Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Trasplantes,Otros,define a methodology to assess the performance of organ procurement at hospital level. ,Activo,Organ Donation European Quality System,Dr. José Luis Escalante (Hosp. Gregorio Marañón) ,3,SI,CE(DG SANCO),NO,"AUSTRIA
Medical University of Vienna

CROATIA
Ministry of Health and Social Welfare

FRANCE
Agence de la Biomédecine

GERMANY
Deutsche Stiftung Organtransplantation

ITALY
Fondazione per l’Incremento dei Trapianti d’Organo e di Tessuti FITOT Onlus

POLAND
Poltransplant

PORTUGAL
Autoridade para Serviços de Sangue e de Transplantaçao

ROMANIA
Fundatia pentru Transplant

SPAIN
DTI Foundation

SWEDEN
Karolinska Institute

UNITED KINGDOM
NHS Blood and Transplant

",,,
Hospital Clínico San Carlos, Hospital General Universitario Gregorio Marañón,Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Psiquiatría y salud mental,Psiquiatría,European Network of National Schizophrenia Networks Studying Gene-Environment Interactions (EU-GEI),Activo,European Network of National Schizophrenia Networks Studying Gene-Environment Interactions (EU-GEI),Dr. Celso Arango,3,SI,CE FP7-HEALTH,NO,"King’s College London
Cardiff University
Central Institute of Mental Health
Ankara Universitesi
Servicio Madrileño de Salud
Academisch Medisch Centrum – Universiteit van Amsterdam
Institut National de la Santé et de la Recherche Medicale (INSERM)
Katholieke Universiteit Leuven
University Mental Health Research Institute
Medizinische Universität Wien
Universität Basel
Universität zu Köln – Universitätsklinikum
Wingz b.v.
E.C.S. International BV
Omega Pro Proje Arastirma Gelistirme ve Danismanlik Ltd Þti
Mediamens B.V.
The University of Hong Kong
Universidad del Pais Vasco
The Chancellor, Masters and Scholars of the University of Cambridge
Royal College of Surgeons in Ireland
Ludwig-Maximilians-Universität München
Universita di Bologna
Universita Degli Studi di Palermo
Dipartimento di Neuroscienze e cliniche
University of Melbourne
",2010,2015,2
Hospital Clínico San Carlos, Hospital General Universitario Gregorio Marañón,Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,Psiquiatría y salud mental,Psiquiatría,OPtimization of Treatment and Management of Schizophrenia in Europe (OPTiMiSE),Activo,OPtimization of Treatment and Management of Schizophrenia in Europe (OPTiMiSE),Dr. Celso Arango,3,SI,CE FP7-HEALTH,NO,"Medical University Innsbruck
Universitair Centrum St.-Jozef

Psychiatrická klinika LF UK
Psychiatrické centrum Praha

Psychiatric University Centre Glostrup
Psychiatric Center Copenhagen

Institut National de la Santé et de la Reserche Médicale (INSERM)

Central Institute of Mental Health
Technische Universität München
Ludwig-Maximilians University Munich

Sheba Medical Centre

University of Naples SUN

University Medical Center Utrecht

University of Medical Sciences

Tangent Data (tel: 021 3233224)

Hospital General Universitario Gregório
Marañon
Hospital Clínico San Carlos
Instituto de Investigación Hospital 12 de
Octubre
Universidad de Oviedo
Hospital Clinic i Provincial

Privatklinik für Psychiatrie und Psychotherapie Oetwil am See/Zürich
King’s College London
University of Manchester",2010,2016,2
Hospital Clínico San Carlos, Hospital General Universitario Gregorio Marañón,Hospital General Universitario Gregorio Marañón,Madrid,28007,Doctor Esquerdo 46,40.418835,-3.669297,"Cardiovascular, terapia celular en post infarto de miocardio agudo",Patología cardiovasculares,BAMI: Terapia celular para la regeneración de la función cardiaca después de IAM,Activo,The effect of intracoronary reinfusion of bone marrow-derived mononuclear cells (BM-MNC) on all-cause mortality in acute myocardial infarction,Dr. Francisco Fernández Avilés ,3,SI,CE FP7-HEALTH,NO,"QUEEN MARY AND WESTFIELD COLLEGE, UNIVERSITY OF LONDON,                                                  UNIVERSITAET ROSTOCK, JOHANN WOLFGANG GOETHE UNIVERSITAET FRANKFURT AM MAIN , UNIVERSITY COLLEGE LONDON , KATHOLIEKE UNIVERSITEIT LEUVEN , INSTITUT CATALA DE LA SALUT , MEDIZINISCHE HOCHSCHULE HANNOVER , ITÄ-SUOMEN YLIOPISTO , EURAM LIMITED , THE UNIVERSITY OF EXETER, ASSISTANCE PUBLIQUE - HOPITAUX DE PARIS , UNIVERSITA CATTOLICA DEL SACRO CUORE , KING'S COLLEGE HOSPITAL NHS TRUST , ZLSKI UNIWERSYTET MEDYCZNY W KATOWICACH , OSLO UNIVERSITETSSYKEHUS HF , REGION HOVEDSTADEN , FAKULTNI NEMOCNICE BRNO , CARDIO3 BIOSCIENCES SA , CARDIOVASCULAR RESEARCH CENTER AALST VZW , T2CURE GMBH ",2011,2016,2
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,DIGESTIVO,Gastroenterología,HIGH ACCURACY DETECTION OF CYTOKINES AND ITS APPLICATION FOR MEDICAL DIAGNOSTIC AND AUTOINMUNE INFLAMMATORY DISEASES. ,Activo,"DETECTMUNE proposes to develop high resolution detection technology (in the range of 10-20 pg/ml) for these TNF-α and IL-6 cytokines in patient serum samples. Both proteins are considered essential for the establishment of a correlation between their presence in serum and the administration of anti-TNF-α in order to minimise side effects and cost per patient. Moreover, this information, together with clinical history data could be useful to establish a reliable test to decide whether or not a patient should be treated with monoclonal antibodies.",LUIS BUJANDA,,,La entidad financiadora es Departmento de Industria,NO,"LAAS-CNRS- FRANCE
Innopsys- FRANCE

",2011,2013,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA DEL CÁNCER,Oncología,EUROPEAN CONSUMPTION VALIDATION. DEVELOPING A TRANS-EUROPEAN METHODOLOGY TO STUDY FOOD CONSUMPTION (EFCOVAL)                                                                                                                                                                                                                                 ,Inactivo,The strategic objective of EFCOVAL is to further develop and validate the food consumption instrument (EPIC-SOFT),MARIA PILAR AMIANO ETXEZARRETA,,,COMISIÓN EUROPEA,NO,Centre for Nutrition and Health-National Institute for Public Health and the Environment,2006,2010,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Embriología,VALPROIC ACID MONOTHERAPY IN PREGNANCY AND MAYOR CONGENITAL MALFORMATIONS,Inactivo,"It was assessed the associations between use of valproic acid during
the first trimester and 14 malformations by performing a case–control study
with the use of the European Surveillance of Congenital Anomalies (EUROCAT)
antiepileptic-study database, which is derived from population-based congenitalanomaly
registries.",LARRAITZ ARRIOLA LARRARTE,,,UNIVERSITY OF ULSTER,NO,UNIVERSITY OF ULSTER,2010,2011,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Patología cardiovasculares,"STUDY OF THE INTERPLAY IN GENETIC, BIOCHEMICAL AND LIFESTYLE FACTORS ON CORONARY HEART DISEASE INCIDENCE                                                                                                                                                                                                                         ",Activo,,MIREN DORRONSORO IRAETA,,,UNIVERSITY OF CAMBRIDGE,NO,Cardiovascular Epidemiology Unit-Dept of Public Health & Primary Care-University of Cambridge,2009,2013,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Oncología,EPIC-CVD: INDIVIDUALISED CVD RISK ASSESSMENT: TAILORING TARGETED AND COST-EFFECTIVE APPROACHES TO EUROPE´S DIVERSE POPULATIONS                                                                                                                                                                                                                             ,Activo,"Will improve primary prevention of CVD cross Europe by including information on risk behaviours and lifestyle biomarkers in risk scores and prevention strategies, including in teh context of existing risk factors, genetic make-up and biomarkers of intermediate pathways. The goal is to develop innovative and practical strategies that enhance prediction, promote behavioural change, and personalise prevention.",MIREN DORRONSORO IRAETA,,,COMISION EUROPEA ,NO,Cardiovascular Epidemiology Unit-Dept of Public Health & Primary Care-University of Cambridge,2012,2015,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,INFESCCIOSAS,Enfermedades infecciosas," PORTABLE AUTOMATED TEST FOR FAST DETECTION AND SURVEILLANCE OF INFLUENZA (PORTFASTFLU)                                                                                                                                                                           

",Inactivo,"El objetivo principal del proyecto PortFastFlu  es el desarrollo y validación de una prueba rápida o ""point of care system"" para el diagnóstico de la gripe en muestras humanas y animales, que pueda ser utilizada tanto en países desarrollados como en vías de desarrollo. El dispositivo permitirá la detección de la infección por el virus de la gripe de una manera rápida y específica utilizando un cartucho desechable colocado en un instrumento analítico portátil y compacto. ",EMILIO PEREZ TRALLERO,,,,,GENEWAVE-FRANCE,2008,2010,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Salud internacional,"PHYSICAL ACTIVITY, NUTRITION, ALCOHOL, CESSATION OF SMOKIN, EATING OUT OF HOME AND OBESITY        ",Inactivo,,MIREN DORRONSORO IRAETA,,,COMISION EUROPEA ,NO,Universitair Medish Centrum Utrecht-Netherlands,2006,2009,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,NEUROCIENCIAS,Genética,THE ROLE OF LRRK2 IN REGULATING CALCIUM STORES IN HUMAN FIBROBLASTS             ,Activo,"The preliminary evidence indicates that LRRK2 may regulate acidic calcium stores, with downstream effects on autophagy as well as a variety of other calcium-dependent cellular events. Thus, mutant LRRK2 may lead to aberrant calcium homeostasis, which could contribute to Parkinson´s disease (PD). The primary objective is to gain a direct understanding of the link between endogenous LRRK2 and calcium stores in a human cell culture model.",MARICRUZ RODRIGUEZ OROZ,,,THE MICHAEL J. FOX FOUNDATION FOR PARKINSON'S RESEARCH,NO,,2011,2014,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Genética,AN EXAMINATION  OF THE INTERACTION OF GENETIC AND LIFESTYLE FACTORS ON THE INCIDENCE OF TYPE 2 DIABETES                                                                                                                                                                                                                           ,Inactivo,"Research Line specific objectives
• To ascertain potential cases of type diabetes described within the existing EPIC
databases in order to establish a provisional ‘case’ group.
• To verify the diagnosis of incident T2D in all potential cases.
• To identify a strategy for control selection and to implement this strategy by selecting
suitable control individuals and providing details to allow sample retrieval.
• To retrieve plasma, serum and buffy coat samples from the EPIC central store for
identified cases and controls.
• To establish a central database for all the information collected as part of this project.
• To co-ordinate the activities for designing the analysis of data collected in the InterAct
project for the main effects analysis for genetics, diet, nutrition and physical activity,
and interaction.",LARRAITZ ARRIOLA LARRATE,,,COMISION EUROPEA ,NO,Medical reseach council-United Kingdom,2006,2011,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,DIGESTIVO,Gastroenterología,SMART INTEGRATED BIODIAGNOSTIC SYSTEM FOR HEALTHCARE            ,Inactivo,"Driven by clinical applications and MNT & IST technology, SmartHEALTH will develop an open
integrated architecture for new biodiagnostic systems to support European companies exploiting
bioassays or new application concepts. Initial system has a disposable fluidic cartridge with a
desktop base-station linking to the ambient e-Health environment - health cards, patient data,
online services. This concept will be miniaturised and cost engineered into a portable and consumer
product. It will perform multianalyte sensing and interpretation, for nucleic acids, proteins and
others and will handle multiple biological sample types.",LUIS BUJANDA,,,COMISION EUROPEA ,NO,"The University of Newcastle upon Tyne-United Kingdom
 iXscient Ltd -United Kingdom",2005,2010,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Oncología,"EUROPEAN PROSPECTIVE INVESTIGATION INTO CANCER, CHRONIC DISEASES, NUTRICION AND LITFESTYLE       ",Inactivo,"Objective:
1. To coordinate research activities aimed at producing new scientific knowledge on the role of diet, obesity, physical activity, alcohol, tobacco and socioeconomic factors on the risk of cancer, coronary heart disease and stroke in 10 European countries.  
2. To enhance the development of statistical methods for multi-centre, Europe-wide studies on diet and chronic disease (e.g., using multi-level models, models for the detailed calibration of dietary intake assessments), as well as the use of biomarkers of dietary and other exposures to enhance between-country comparability of data. This will be achieved by organizing international scientific work-shops involving scientists in the EPIC network and other European institutions.  Scientific reports will be prepared by the end of year 2.

3. To disseminate knowledge on hypotheses and results from major European studies, including EPIC, in the field of diet and chronic disease, as well as on methodological issues related to biomarkers development and statistical analysis of multicentre, European studies. ",MIREN DORRONSORO IRAETA,,,COMISION EUROPEA ,NO,International Agency for Research and Cancer-France,2005,2011,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Salud internacional,INDIVIDUAL FOOD CONSUMPTION DATA AND EXPOSURE ASSESSMENT STUDIES FOR CHILDREN         ,Inactivo,,PILAR AMIANO ETXEZARRETA,,,GHENT UNIVERSITY DEPARTMENT OF PUBLIC HEALTH,NO,Ghent university,2008,2011,
Hospital Clínico San Carlos,BIODONOSTIA,Hospital Donostia,Donostia,20014,Pº Doctor Beguiristain,43.296063,-1.973893,EPIDEMIOLOGÍA AMBIENTAL Y SALUD PÚBLICA,Salud internacional,INNOVATION OF DIETARY ASSESSMENT METHODS IN EPIDEMIOLOGICAL STUDIES AND PUBLIC HEALTH  ,Inactivo,,PILAR AMIANO ETXEZARRETA,,,COMISION EUROPEA ,NO,German Institute of Human Nutrition-Germany,2007,2011,
Hospital Clínico San Carlos,IGTP-Fundació Privada Institut de Neurorehabilitació Guttmann,Hospital Universitario Gremans Trias i Pujol,Badalona,8916,Carretera Canyet,41.472133,2.234281,"Bioingeniería aplicada a la autonomía funcional de las personas (Tiene como objetivo principal el desarrollo y la innovación de sistemas de rehabilitación eficaces, eficientes, ecológicos y divertidos para el paciente, integrando fundamentos de neurociencia con soluciones de robótica, informática, realidad aumentada y retroalimentación sobre el nivel de ejecución en tiempo real basada en inteligencia artificial)",Rehabilitación,"BRAINABLE (Proyecto de I+D para investigar la utilidad y viabilidad de sistemas no invasivos de registro de la actividad cerebral aplicados al control de ayudas técnicas, sistemas domóticos, entornos virtuales y estimulación y rehabilitación cognitiva)",Activo,"Brain computer interface, disabled people, autonomy, assistive tecnologies",Josep Medina / Felip Miralles,2,SI,FP7 - ICT,,"Empresas, centros tecnológicos y universidades europeos",2010,2012,2
